Sector,Sector_Name,Year,Avg_Live_Coral
CB,Capricorn-Bunker,2012,14.77
IN,Innisfail,2012,8.62
PO,Pompey,2012,18.23
SW,Swain,2012,16.62
TO,Townsville,2012,5.15
CA,Cairns,2013,15.73
CB,Capricorn-Bunker,2013,20.97
CG,Cooktown/Lizard Is.,2013,36.48
CL,Central,2013,22.39
IN,Innisfail,2013,5.25
PC,Princess Charlotte Bay,2013,24.12
PO,Pompey,2013,10.27
SW,Swain,2013,16.1
TO,Townsville,2013,11.52
WH,Whitsunday,2013,12.01
CA,Cairns,2014,13.74
CB,Capricorn-Bunker,2014,19.88
IN,Innisfail,2014,15.53
PO,Pompey,2014,16.1
SW,Swain,2014,27.61
TO,Townsville,2014,13.27
CA,Cairns,2015,15.34
CB,Capricorn-Bunker,2015,30.63
CL,Central,2015,12.33
CU,Capricorn,2015,13.63
IN,Innisfail,2015,20.41
PC,Princess Charlotte Bay,2015,35.03
PO,Pompey,2015,29.92
SW,Swain,2015,27.22
TO,Townsville,2015,19.38
WH,Whitsunday,2015,16.35
CA,Cairns,2016,18.82
CB,Capricorn-Bunker,2016,34.08
IN,Innisfail,2016,22.09
PO,Pompey,2016,17.18
SW,Swain,2016,34.37
TO,Townsville,2016,24.35
CA,Cairns,2017,19.54
CB,Capricorn-Bunker,2017,45.04
CG,Cooktown/Lizard Is.,2017,31.69
CL,Central,2017,6.14
IN,Innisfail,2017,23.45
PC,Princess Charlotte Bay,2017,19.43
PO,Pompey,2017,23.33
SW,Swain,2017,41.5
TO,Townsville,2017,22.8
WH,Whitsunday,2017,26.85
CA,Cairns,2018,9.95
CB,Capricorn-Bunker,2018,40.37
CU,Capricorn,2018,22.69
IN,Innisfail,2018,6.97
PO,Pompey,2018,20.33
SW,Swain,2018,32.8
TO,Townsville,2018,21.13
CA,Cairns,2019,10.79
CB,Capricorn-Bunker,2019,49.63
CG,Cooktown/Lizard Is.,2019,32.1
CL,Central,2019,7.82
IN,Innisfail,2019,9.77
PC,Princess Charlotte Bay,2019,21.35
PO,Pompey,2019,19.35
SW,Swain,2019,20.12
TO,Townsville,2019,20.77
WH,Whitsunday,2019,23.38
CA,Cairns,2020,14.51
CB,Capricorn-Bunker,2020,44.9
CG,Cooktown/Lizard Is.,2020,29.38
CL,Central,2020,14.04
IN,Innisfail,2020,7.16
PC,Princess Charlotte Bay,2020,16.68
PO,Pompey,2020,27.64
SW,Swain,2020,23.13
TO,Townsville,2020,23.67
CA,Cairns,2021,25.06
CB,Capricorn-Bunker,2021,52.52
CG,Cooktown/Lizard Is.,2021,32.77
CL,Central,2021,23.63
CU,Capricorn,2021,28.83
IN,Innisfail,2021,13.17
PC,Princess Charlotte Bay,2021,28.48
PO,Pompey,2021,39.89
SW,Swain,2021,28.13
TO,Townsville,2021,30.54
WH,Whitsunday,2021,28.59
CA,Cairns,2022,30.83
CB,Capricorn-Bunker,2022,56.69
CG,Cooktown/Lizard Is.,2022,45.4
CL,Central,2022,29.74
CU,Capricorn,2022,34.21
IN,Innisfail,2022,13.71
PC,Princess Charlotte Bay,2022,40.27
PO,Pompey,2022,35.1
SW,Swain,2022,21.15
TO,Townsville,2022,37.59
WH,Whitsunday,2022,37.19
CA,Cairns,2023,28.52
CB,Capricorn-Bunker,2023,51.84
CG,Cooktown/Lizard Is.,2023,40.87
CL,Central,2023,34.01
CU,Capricorn,2023,32.07
IN,Innisfail,2023,19.11
PC,Princess Charlotte Bay,2023,33.44
PO,Pompey,2023,35.57
SW,Swain,2023,22.38
TO,Townsville,2023,37.95
WH,Whitsunday,2023,30.7
